06E210101|Not Found|Not Found
06H230113|Not Found|Not Found
06H230294|Not Found|Not Found
06J140387|Not Found|Not Found
06J311042|Not Found|Not Found
06J330083|Not Found|Not Found
06J630514|Not Found|Not Found
07E310202|Not Found|Not Found
07H620025|Not Found|Not Found
07J520823|Not Found|Not Found
08D110026|Not Found|Not Found
08E220201|Not Found|Not Found
08E320721|Not Found|Not Found
08E410039|Not Found|Not Found
08E430015|Not Found|Not Found
08E520194|Not Found|Not Found
08F531115|Not Found|Not Found
08J130841|Not Found|Not Found
08J430415|Not Found|Not Found
08K310877|Not Found|Not Found
08K341501|Not Found|Not Found
09E631877|Not Found|Not Found
09E641788|Not Found|Not Found
09F541203|Not Found|Not Found
09F630051|Not Found|Not Found
09K430668|Not Found|Not Found
10D121061|Not Found|Not Found
10D130081|Not Found|Not Found
10F120255|Not Found|Not Found
10F141155|Not Found|Not Found
10F141182|Not Found|Not Found
10F141201|Not Found|Not Found
10F141283|Not Found|Not Found
10F230484|Not Found|Not Found
10G621151|Not Found|Not Found
10J231819|Not Found|Not Found
10J420422|Not Found|Not Found
10J430919|Not Found|Not Found
10J431844|Not Found|Not Found
10J520090|Not Found|Not Found
10K630176|Not Found|Not Found
11E110344|Not Found|Not Found
11E110490|Not Found|Not Found
11E230868|Not Found|Not Found
11E330270|Not Found|Not Found
11E330647|Not Found|Not Found
11E420829|Not Found|Not Found
11E540462|Not Found|Not Found
11F130549|Not Found|Not Found
11F130732|Not Found|Not Found
11F131034|Not Found|Not Found
11F141631|Not Found|Not Found
11F320821|Not Found|Not Found
11F410096|Not Found|Not Found
11F410151|Not Found|Not Found
11F410184|Not Found|Not Found
11F410544|Not Found|Not Found
11F410553|Not Found|Not Found
11F411031|Not Found|Not Found
11F420123|Not Found|Not Found
11F420141|Not Found|Not Found
11F420242|Not Found|Not Found
11F420307|Not Found|Not Found
11F421241|Not Found|Not Found
11F421434|Not Found|Not Found
11F431271|Not Found|Not Found
11F440262|Not Found|Not Found
11F440950|Not Found|Not Found
11F441427|Not Found|Not Found
11F531443|Not Found|Not Found
11F531883|Not Found|Not Found
11G220502|Not Found|Not Found
11G230668|Not Found|Not Found
11G240834|Not Found|Not Found
11G320390|Not Found|Not Found
11G340035|Not Found|Not Found
11G510030|Not Found|Not Found
11G510342|Not Found|Not Found
11G510371|Not Found|Not Found
11G520527|Not Found|Not Found
11G521306|Not Found|Not Found
11G521526|Not Found|Not Found
11G521591|Not Found|Not Found
11G521609|Not Found|Not Found
11G521746|Not Found|Not Found
11G530647|Not Found|Not Found
11G610163|Not Found|Not Found
11G610196|Not Found|Not Found
11H130284|Not Found|Not Found
11H521417|Not Found|Not Found
11J112463|Not Found|Not Found
11J311200|Not Found|Not Found
11J610730|Not Found|Not Found
11M140960|Not Found|Not Found
11P640252|Not Found|Not Found
12E520285|Not Found|Not Found
12E540728|Not Found|Not Found
12F110683|Not Found|Not Found
12F140255|Not Found|Not Found
12G121015|Not Found|Not Found
12G140090|Not Found|Not Found
12G210243|Not Found|Not Found
12G211105|Not Found|Not Found
12G220071|Not Found|Not Found
12G310619|Not Found|Not Found
12G340070|Not Found|Not Found
12G630526|Not Found|Not Found
12G640084|Not Found|Not Found
12H110171|Not Found|Not Found
12H110373|Not Found|Not Found
12H130531|Not Found|Not Found
12H210464|Not Found|Not Found
12H220704|Not Found|Not Found
12H220823|Not Found|Not Found
12H221813|Not Found|Not Found
12H420922|Not Found|Not Found
12H520095|Not Found|Not Found
12J210650|Not Found|Not Found
12J211024|Not Found|Not Found
12J320991|Not Found|Not Found
12J321365|Not Found|Not Found
12J321376|Not Found|Not Found
12J330231|Not Found|Not Found
12J330716|Not Found|Not Found
12J331311|Not Found|Not Found
12J340405|Not Found|Not Found
12J541288|Not Found|Not Found
12J611248|Not Found|Not Found
12J631433|Not Found|Not Found
12J631488|Not Found|Not Found
12L230021|Not Found|Not Found
12L230746|Not Found|Not Found
12N310763|Not Found|Not Found
12O231270|Not Found|Not Found
12O321306|Not Found|Not Found
13G530306|Not Found|Not Found
13G530847|Not Found|Not Found
13H231381|Not Found|Not Found
13H540171|Not Found|Not Found
13H540225|Not Found|Not Found
13J641213|Not Found|Not Found
13L240618|Not Found|Not Found
13L240663|Not Found|Not Found
13M521068|Not Found|Not Found
13O630643|Not Found|Not Found
14H440344|Not Found|Not Found
14H440968|Not Found|Not Found
14H540536|Not Found|Not Found
14J511205|Not Found|Not Found
14J530125|Not Found|Not Found
14J530488|Not Found|Not Found
14J530774|Not Found|Not Found
14J531445|Not Found|Not Found
14J610359|Not Found|Not Found
14K141164|Not Found|Not Found
14K220089|Not Found|Not Found
14K221112|Not Found|Not Found
14K311390|Not Found|Not Found
14K640180|Not Found|Not Found
14N140115|Not Found|Not Found
14N230096|Not Found|Not Found
14N230113|Not Found|Not Found
14N420011|Not Found|Not Found
15H220701|Not Found|Not Found
15H220848|Not Found|Not Found
15H220903|Not Found|Not Found
15H230436|Not Found|Not Found
15H230463|Not Found|Not Found
15H312011|Not Found|Not Found
15H312088|Not Found|Not Found
15H620396|Not Found|Not Found
15J111136|Not Found|Not Found
15J130793|Not Found|Not Found
15J410457|Not Found|Not Found
15J411096|Not Found|Not Found
15J411117|Not Found|Not Found
15J431324|Not Found|Not Found
15J440047|Not Found|Not Found
15J440762|Not Found|Not Found
15J440971|Not Found|Not Found
15J441356|Not Found|Not Found
15J441730|Not Found|Not Found
15K110934|Not Found|Not Found
15K341024|Not Found|Not Found
15K341057|Not Found|Not Found
15K441432|Not Found|Not Found
15L520785|Not Found|Not Found
15L520840|Not Found|Not Found
15L541487|Not Found|Not Found
15L621183|Not Found|Not Found
15N310614|Not Found|Not Found
15O340434|Not Found|Not Found
16H221141|Not Found|Not Found
16H221152|Not Found|Not Found
16H221680|Not Found|Not Found
16H221691|Not Found|Not Found
16H222212|Not Found|Not Found
16H240061|Not Found|Not Found
16H240427|Not Found|Not Found
16H312254|Not Found|Not Found
