14G330361|0.11|0038 /      -  0128 /|910
14G330392|0.15|0050 / 0050 -  0128 / 0128|110
14G330536||0025 /      -  0128 /|110
14G241683|||110
14G330480||0050 / 0050 -  0128 / 0128|110
14G241591||0025 /      -  0128 /|110
14G241665||0040 /      -  0128 /|110
14G330839||0050 /      -  0128 /|110
14G330563|0.15|0050 /      -  0128 /|110
14G242084||0038 / 0038 -  0128 / 0128|110
14G330590||0050 /      -  0128 /|110
14G330756||0025 /      -  0128 /|110
14G330848|0.07|0025 / 0025 -    0128 / 0128|110
14G242426|0.15|0050 / 0050 -  0129 / 0129|110
14G520946||0060 /      -  0105 /|110
14G530011||0050 /      -  0109 /|110
14G610034||0032 /      -  0128 /|110
14G520384|0.09|0030 / 0030 -    0129 / 0129|110
14G610199||0065 / 0065 -  0128 / 0128|110
14G522199|0.10|0035 / 0035 -   0124 / 0124|110
14G331470||0028 /      -  0128 /|110
14G610298||0050 /      -  0128 /|110
14G331517||0028 /      -  0128 /|110
14G530213||0040 / 0130 -  0090 / 0127|110
14G522045|0.14|0050 / 0050 -    0125 / 0127|910
14G530305||0040 / 0134 -  0094 / 0133|110
14G520670||0050 /      -  0128 /|110
14G520414||0050 /      -  0128 /|115
14G521422||0050 /      -  0110 /|110
14G520571||0030 /      -  0128 /|110
14G440756||0055 /      -  0110 /|110
13G110151||0050 /      -  0110 /|110
14G331544||0050 /      -  0128 /|110
14G520692||0038 /      -  0128 /|110
14G520643||0050 / 0050 -  0128 / 0128|110
14G610724||0025 /      -  0128 /|110
14G610375||0050 /      -  0128 /|110
14G610210||0038 / 0038 -  0129 / 0129|110
14G530882|0.20|0075 / 0075 -  0120 / 0118|110
14G520982||0025 / 0025 -  0128 / 0128|110
14G610760||0060 / 0060 -  0128 / 0128|110
14G521341||0040 / 0040 -  0130 / 0130|110
13G110292||0050 /      -  0110 /|110
14G531506||0069 /      -  0088 /|110
13G120381||0069 /      -  0110 /|110
14G611310||0037 /      -  0128 /|110
13G121072||0050 /      -  0118 /|110
14G531212||0036 / 0096 -  0087 / 0081|110
14G612234|0.10|0087 / 0087 -  0048 / 0048|110
14G611123||0038 / 0038 -  0128 / 0128|110
14G611552||0033 / 0033 -  0128 / 0128|110
14G521572||0038 / 0038 -  0128 / 0128|110
14G611332||0025 /      -  0128 /|110
13G130346||0050 /      -  0105 /|110
14G611530||0050 /      -  0128 /|110
13G121380||0050 /      -  0118 /|110
14G611402||0025 /      -  0128 /|110
14G611604||0050 /      -  0128 /|110
14G611893||0050 /      -  0128 /|110
13G210893||0056 /      -  0120 /|110
14G611277|0.15|0050 / 0050 -  0128 / 0128|110
13G210293||0045 / 0045 -  0120 / 0120|110
14G610771||0036 /      -  0128 /|110
13G120730||0055 / 0055 -  0110 / 0110|110
14G611343||0025 /      -  0128 /|110
13G210426|0.12|0063 / 0062 -    0081 / 0080|110
13G210206||0050 /      -  0100 /|110
14G611981||0050 / 0050 -  0128 / 0128|110
14G611882||0050 /      -  0128 /|910
14G612223||0100 /      -  0128 /|110
14G620341|0.12|0040 / 0040 -    0129 / 0129|110
14G630010||0050 / 0050 -  0128 / 0128|110
14G611497||0050 / 0050 -    0128 / 0128|110
14G611815||0036 / 0025 -  0128 /IRR|110
14G630197||0063 /      -  0128 /|110
14G612344|0.22|0075 / 0075 -  0129 / 0129|110
14G630285||0050 /      -  0128 /|110
13G140705||0045 / 0045 -  0105 / 0105|110
14G611512||0075 /      -  0128 /|110
14G630322||0050 / 0050 -  0128 / 0128|110
14G630461||0050 / 0050 -  0128 / 0128|110
13G211012|0.19|0068 / 0068 -  0118 / 0123|110
14G612036||0038 /      -  0084 /|110
13G220784||0059 / 0059 -  0100 / 0100|110
14G612191||0040 / 0040 -  0128 / 0128|910
14G620303||0050 /      -  0181 /|110
14G630153||0040 / 0040 -  0128 / 0128|110
14G620583||0040 /      -  0128 /|110
13G220913||0050 / 0050 -  0100 / 0100|110
14G630494||0025 /      -  0128 /|110
14G630946||0050 /      -  0100 /|110
14G632311|0.17|0058 / 0058 -  0129 / 0129|110
14G632412|0.07|0025 / 0025 -    0129 / 0129|110
14G630142||0034 /      -  0128 /|110
14G632430|0.15|0050 / 0050 -    0129 / 0129|110
14G620660||0050 / 0050 -  0128 / 0128|110
13G420104|0.26|0102 / 0111 -    0106 / 0107|110
14G630771||0075 / 0075 -  0128 / 0128|110
14G631264||0050 /      -  0100 /|110
14G620743|0.34|0100 / 0100 -    0149 / 0149|637
14G640097||0050 /      -  0128 /|110
14G631495||0050 /      -  0100 /|110
13G211663|0.12|0043 / 0043 -   0118 / 0118|110
14G640323||0025 /      -  0128 /|110
14G640372||0025 /      -  0128 /|110
14G640196||0031 / 0058 -  0131 / 0128|110
14G640451||0034 /      -  0133 /|110
14G632342|0.20|0068 / 0068 -  0129 / 0129|637
14G631055||0050 / 0050 -  0128 / 0128|110
13G311516|0.07|0027 / 0019 -  0129 /IRR|110
13G311662|0.12|0042 / 0042 -  0129 / 0129|110
14G641197||0045 / 0045 -  0128 / 0128|110
13G310382||0045 /      -  0128 /|637
13G310461||0060 /      -  0128 /|110
14G640837||0050 / 0050 -  0128 / 0128|110
13G310342||0041 / 0041 -  0128 / 0128|110
13G320084|0.07|0023 / 0025 -   0129 / 0129|110
13G310571||0030 / 0030 -  0128 / 0128|110
14G330747||0030 / 0030 -  0150 / 0150|110
15G540507||0050 / 0050 -  0130 / 0130|110
15G540819|0.18|0060 / 0060 -  0130 / 0130|110
14G610056||0025 /      -  0130 /|110
15G540772|0.18|0060 / 0060 -  0130 / 0130|110
15G540471|0.17|0058 / 0058 -  0130 / 0130|110
15G540323||0099 /      -  0110 /|581
14G330729||0065 / 0065 -  0140 / 0140|110
14G640273||0030 / 0030 -  0140 / 0140|601
15G540626||0040 / 0040 -  0102 / 0102|110
14G631624||0025 /      -  0140 /|506
14G631761||0068 / 0038 -  0140 / 0143|601
13G311846|0.37|0045 / 0073 -   0206 /IRR|641
14G241913||0055 / 0055 -  0159 / 0159|110
14G230261||0071 / 0071 -  0159 / 0159|110
14G540416||0056 / 0051 -  0172 / 0186|110
14G540773||0065 / 0042 -  0100 /|110
14G521615||0050 / 0050 -  0137 / 0137|110
14G540782||0062 / 0040 -  0100 /|110
14G541608||0060 / 0050 -  0100 /|110
14G232052||0038 / 0038 -  0159 / 0159|110
14G510187||0038 / 0038 -  0159 / 0159|110
14G540113||0050 /      -  0137 /|110
13G220072||0050 /      -  0100 /|110
14G230500||0040 / 0040 -  0159 / 0159|110
14G540131||0050 / 0050 -  0137 / 0137|110
14G511034||0075 / 0075 -  0159 / 0159|110
14G540195||0038 /      -  0137 /|110
14G230601||0038 / 0038 -  0159 / 0159|110
14G231435||0038 / 0038 -  0159 / 0159|110
14G231765||0038 / 0038 -  0159 / 0159|110
14G540283||0050 / 0050 -  0137 / 0137|110
14G510341||0038 / 0038 -  0159 / 0159|110
13G220391||0050 /      -  0100 /|110
14G540737||0055 / 0047 -  0100 /|110
14G511816|0.29|0078 / 0078 -  0159 / 0159|110
13G220894||0038 /IRR-  0077 / 0113|110
14G510880||0038 / 0038 -  0159 / 0159|110
13G222205|0.09|0034 / 0034 -    0122 / 0119|110
13G220591||0054 / 0046 -  0100 /|110
14G541295||0055 / 0068 -  0100 /|110
13G220555||0047 / 0058 -  0100 /|110
14G510523|0.14|0038 / 0038 -  0159 / 0159|110
14G510826||0044 / 0044 -  0159 / 0159|110
14G230665||0040 / 0040 -  0159 / 0159|110
14G511111||0070 / 0070 -  0159 / 0159|110
14G140191||0087 / 0087 -  0159 / 0159|115
13G220995||0049 / 0063 -  0146 / 0169|110
13G220151||0050 / 0050 -  0102 / 0100|110
14G140281|0.22|0060 / 0060 -  0159 / 0159|110
13G220885||0047 / 0058 -  0100 /|110
14G231114||0038 / 0038 -  0159 / 0159|110
14G231132||0038 / 0083 -  0159 / 0159|110
