20J310362||0040 / 0041 -  0161 / 0168|110
20K620231||0090 /      -  0110 /|110
20K531076|1.57|0382 / 0312 -  0156 /IRR|910
20J331323|0.06|0022 / 0022 -  0115 / 0115|506
20J331314|0.07|0025 / 0025 -  0115 / 0115|506
20J120792||0100 /      -  0086 /|115
20J140877||0050 / 0050 -  0130 / 0130|110
20J131912|0.04|0014 / 0012 -  0140 / 0140|910
20J130335||0050 / 0050 -  0140 / 0140|110
20J112373|0.10|0037 / 0037 -   0120 / 0120|110
20J131545|0.15|0050 /      -  0133 /|110
22J420298||0194 / 0148 -  0133 / 0127|110
23K631146|0.11|0050 / 0050 -  0100 / 0100|910
24K330954|0.11|0040 / 0040 -    0115 / 0115|910
21L330183||0050 /      -  0161 /|110
22K411178||0050 /      -  0135 /|110
21L240932||0056 /      -  0135 /|110
22K440882|0.26|0060 / 0060 -    0189 / 0189|110
22L320910||0060 /      -  0120 /|110
25L540562||0075 / 0075 -  0140 / 0140|110
24K111166||0079 /      -  0111 /|110
22K411585||0050 /      -  0140 /|110
22L620962||0050 /      -  0135 /|110
22L621794|0.03|0010 / 0010 -  0135 / 0135|910
22L620320||0050 /      -  0150 /|910
22L340408||0072 / 0072 -  0140 / 0140|110
21L340445|0.08|0060 / 0080 -   0060 / 0039|910
21L320306||0050 / 0050 -  0100 / 0110|110
22L621387||0038 /      -  0135 /|110
23L330570||0085 / 0089 -  0158 / 0170|110
22L311541|0.19|IRR/ 0035 -   0159 / 0138|110
22J120680||0050 / 0050 -  0150 / 0150|110
24L240553|0.38|0130 / 0069 -  0167 / 0170|110
23K540374|||110
22L520505||0060 /      -  0140 /|110
22L520734||0036 /IRR-  0126 / 0121|110
22L520808||0060 /      -  0062 / 0063|910
22K420660||0075 / 0075 -  0122 / 0126|110
24K630311||0075 /      -  0125 /|110
22K630971||0062 / 0060 -  0217 / 0210|110
22K630210||0028 /      -  0150 /|604
23J440633||0050 / 0050 -  0150 / 0150|110
22J131965|0.16|0050 / 0050 -  0140 / 0140|601
22K440112||0030 /      -  0139 / 0137|110
22K430423||0050 /      -  0118 / 0115|110
22K341790|0.32|0075 / 0100 -IRR/ 0150|910
22K640431||0090 /IRR-  0150 / 0098|110
25L640288||0075 /      -  0185 /|506
23K111044|0.11|0067 / 0050 -  0100 / 0127|506
24L510025||0085 / 0093 -  0105 /|110
22L521001||0139 /PNT-  0148 / 0137|110
15G121140||0039 /      -  0105 /|110
15G121360||0039 /      -  0105 /|110
15G121351||0050 / 0050 -  0125 / 0125|110
15G140372||0040 / 0040 -  0105 / 0105|110
15G230381|1.59||692
15G420241||0037 / 0037 -  0110 / 0110|115
15G420351||0037 / 0037 -  0110 / 0110|110
15G510614||0037 / 0037 -  0110 / 0110|110
15G510650||0037 / 0037 -  0110 / 0110|110
15G230013||0040 / 0040 -  0105 / 0105|110
15G230022||0040 / 0040 -  0105 / 0105|110
15G511222||0050 / 0050 -  0125 / 0125|110
15G530483|||110
15G530551||0025 / 0025 -  0125 / 0125|110
15G540112||0025 / 0025 -  0125 / 0125|110
15G120307||0033 /      -  0122 / 0127|110
15G120381||0033 /      -  0110 / 0116|110
15G120114||0030 /      -  0122 /|110
15G120572||0033 /      -  0122 / 0116|110
15G120132||0030 /      -  0120 /|110
15G141380||0054 / 0054 -  0162 / 0162|110
15G141427||0060 /      -  0162 /|110
15G121393||0060 / 0060 -  0128 / 0128|110
15G141225||0030 /      -  0164 /|110
15G121443||0060 / 0060 -  0128 / 0128|110
15G510724||0038 / 0038 -  0110 / 0110|110
15G140235||0045 / 0045 -  0128 / 0128|110
15G510320||0038 / 0038 -  0110 / 0110|110
15G510023||0038 /      -  0189 / 0194|110
15G140602||0030 / 0030 -  0128 / 0128|110
15G121283||0045 / 0045 -  0128 / 0128|110
15G120518||0140 /      -  0130 /|612
15G510342||0038 / 0038 -  0110 / 0110|110
15G122064|0.53|IRR/IRR- 0120 / 0130|506
15G120293||0060 /      -  0130 /|910
15G120361||0030 /      -  0130 /|910
15G120392||0060 /      -  0130 /|582
15G111727|0.36|0120 / 0120 -  0130 / 0130|637
15G540053||0059 /      -  0110 /|110
16G430681||0060 / 0023 -  0131 / 0125|110
13H130200||0048 /      -  0111 / 0134|110
16G430854||0034 / 0034 -  0125 / 0125|910
13H410021||0042 / 0042 -  0125 / 0125|110
13H430171||0055 / 0078 -  0127 / 0125|110
13H420958||0060 /      -  0125 /|110
13H420976||0070 / 0070 -  0175 / 0175|641
13H420930||0050 / 0050 -  0175 / 0175|110
13H420893||0050 / 0050 -  0175 / 0175|551
13H420619||0070 / 0072 -  0173 / 0159|110
13H420646||0050 / 0050 -  0150 / 0150|110
13H410393||0075 / 0075 -  0110 / 0110|582
16H521881||0043 /      -  0170 / 0160|110
16H540516||0061 / 0054 -  0156 / 0131|492
16H620133|0.09|0050 / 0050 -  0077 / 0077|110
16H540754||0036 / 0036 -  0101 / 0101|110
16H620177||0050 /      -  0077 /|110
16H540718||0036 / 0036 -  0101 / 0101|110
16H540901||0036 / 0036 -  0101 / 0101|110
16H541164||0036 / 0036 -  0101 / 0101|110
16H541120||0034 / 0034 -  0101 / 0101|110
16H611069||0030 /      -  0106 /|110
16H540992||0033 / 0033 -  0101 / 0101|110
16H542321|0.09|0038 / 0038 -  0103 / 0103|110
16H540800||0038 / 0038 -  0101 / 0101|110
