1163 WALTON AV|3771-9-450.000|63113|Two Family Unit|$31,257.00|$1,792.01|2023
6333 EMMA AV|5459-9-010.000|63136|Vacant Residential Lot|$3,600.00|$124.23|2024
4009 GREER AV|5196-9-170.000|63107|Single Family Units|$10,402.00|$664.44|2023
4628 EVANS AV|3774-9-385.000|63113|Two Family Unit|$19,069.00|$1,133.96|2023
4028 N 22ND ST|2402-9-090.000|63107|Single Family Units|$8,450.00|$558.51|2023
4039 LINCOLN AV|3651-9-355.000|63113|Single Family Units|$9,228.00|$599.48|2023
4401 CLARENCE AV|3560-9-530.000|63115|Single Family Units|$25,550.00|$423.94|2025
4450 DRYDEN AV|4419-9-050.000|63115|Single Family Units|$29,646.00|$1,706.44|2023
1518 NEWHOUSE AV|2408-9-130.000||Commercial|$31,100.00|$3,501.71|2023
113 BLOW ST|3012-9-080.000|63111|Two Family Unit|$40,293.00|$1,346.89|2024
4352 DELMAR BLVD|3758-9-070.000|63108|Single Family Units|$55,133.00|$3,084.69|2023
2730 N TAYLOR AV|3707-9-420.000|63113|Two Family Unit|$10,448.00|$666.61|2023
1433 BURD AV|3806-9-475.000|63112|Single Family Units|$50,248.00|$2,749.91|2023
5515 IDAHO AV|2849-9-160.000|63111|Single Family Units|$72,528.00|$1,219.21|2024
8459 CONCORD PL|5636-9-270.000|63147|Single Family Units|$19,490.00|$1,157.26|2023
3840 ASHLAND AV|5185-9-080.000|63107|Two Family Unit|$20,770.00|$767.96|2024
4041 N NEWSTEAD AV|4411-9-095.000|63115|Single Family Units|$29,738.00|$1,688.35|2023
4647 CARRIE AV|3556-9-105.000|63115|Two Family Unit|$24,821.00|$1,443.16|2023
1908 COLEMAN AV|1887-9-230.000|63106|Vacant Residential Lot|$400.00|$5,821.77|2023
5047 ULENA AV|5647-9-260.000|63116|Single Family Units|$28,670.00|$1,162.13|2024
5617 PAMPLIN AV|5786-9-390.000|63136|Single Family Units|$5,501.00|$6,421.35|2023
5466 GENEVIEVE AV|5528-9-240.000|63120|Single Family Units|$9,725.00|$5,731.04|2023
1928 SEMPLE AV|4522-9-110.000|63112|Two Family Unit|$12,345.00|$5,606.07|2023
2002 E WARNE AV|3399-9-070.000|63107|Single Family Units|$13,801.00|$845.16|2023
5940 THEODORE AV|5349-9-200.000|63136|Single Family Units|$16,453.00|$994.13|2023
2912 GREER AV|5221-9-090.000|63107|Two Family Unit|$24,669.00|$899.00|2024
1226 SHAWMUT PL|3815-9-425.000|63112|Two Family Unit|$28,517.00|$1,646.44|2023
3906 ASHLAND AV|5188-9-190.000|63107|Two Family Unit|$16,357.00|$617.85|2024
7715 ALASKA AV|3107-9-070.000|63111|Single Family Units|$58,146.00|$2,970.70|2023
4484 ANDERSON AV|4416-9-265.000|63115|Single Family Units|$20,500.00|$347.26|2025
619 FASSEN ST|2840-9-310.000|63111|Single Family Units|$76,082.00|$1,211.80|2025
3728 PAGE BLVD|3736-9-150.000|63113|Commercial|$30,400.00|$3,396.72|2023
2715 N TAYLOR AV|3715-9-295.000|63113|Commercial|$32,900.00|$3,676.87|2023
5035 PAGE BLVD|3791-9-440.000|63113|Single Family Units|$10,342.00|$409.97|2024
5217 DAVISON AV|5532-9-440.000||Single Family Units|$4,388.00|$6,026.24|2023
4308 N 20TH ST|2444-9-030.000|63107|Three Family Unit|$36,077.00|$589.61|2025
2919 BISHOP P L SCOTT AV|3649-9-190.000|63107|Four Family Unit|$19,834.00|$1,172.78|2023
4933 BEACON AV|5320-9-360.000|63120|Single Family Units|$9,268.00|$6,115.74|2023
883 GUSTAV AV|6362-9-370.000|63147|Single Family Units|$23,629.00|$1,380.98|2023
3943 VIRGINIA AV|2575-9-280.000|63118|Single Family Units|$59,183.00|$2,547.63|2023
4581 CLARENCE AV|3554-9-300.000|63115|Two Family Unit|$15,542.00|$589.67|2024
4450 LABADIE AV|4469-9-345.000|63115|Two Family Unit|$16,401.00|$282.62|2025
5434 N KINGSHIGHWAY BLVD|5466-9-220.000|63115|Single Family Units|$21,325.00|$1,254.50|2023
3817 PAGE BLVD|3735-9-290.000|63113|Two Family Unit|$9,820.00|$397.75|2024
5430 PARTRIDGE AV|5129-9-090.000|63120|Single Family Units|$12,040.00|$215.51|2025
1126 FERRY ST|2440-9-090.000|63107|Two Family Unit|$9,068.00|$960.76|2023
5519 ERA AV|5788-9-430.000|63136|Single Family Units|$18,401.00|$5,222.89|2023
5064 KENSINGTON AV|4838-9-050.000|63108|Single Family Units|$24,733.00|$888.60|2024
1419 NORTH PARK PL|2410-9-345.000|63107|Single Family Units|$19,800.00|$722.69|2024
1022 VERONICA AV|5251-9-090.000|63147|Single Family Units|$16,139.00|$976.63|2023
2606 BELLE GLADE AV|3666-9-140.000|63113|Two Family Unit|$6,734.00|$5,687.26|2023
4928 HARNEY AV|5262-9-400.000|63115|Single Family Units|$25,554.00|$425.89|2025
4707 RAY AV|5705-9-180.000|63116|Single Family Units|$93,540.00|$3,276.50|2024
4025 WEST BELLE PL|4565-9-680.000|63108|Vacant Residential Lot|$11,050.00|$6,606.46|2023
5157 CABANNE AV|5146-9-350.000|63113|Single Family Units|$36,753.00|$2,041.16|2023
1536 VERONICA AV|4320-9-030.000|63147|Single Family Units|$42,743.00|$1,514.96|2024
4371 LEE AV|3573-9-710.000|63115|Commercial|$9,000.00|$1,615.71|2023
5326 NORTHLAND AV|4516-9-220.000|63112|Four Family Unit|$26,423.00|$958.03|2024
4951 ASHBY AV|5466-9-130.000|63115|Single Family Units|$7,842.00|$527.66|2023
4217 HARRIS AV|3567-9-440.000|63115|Two Family Unit|$10,798.00|$430.42|2024
3107 UNION BLVD|error accessing
3915 CORA AV|4408-9-585.000|63115|Single Family Units|$23,522.00|$861.72|2024
6517 SMILEY AV|error accessing
4027 PALM ST|5192-9-210.000|63107|Two Family Unit|$29,448.00|$1,692.68|2023
4557 NEWPORT AV|5272-9-280.000||Single Family Units|$61,208.00|$6,545.52|2023
5896 ST LOUIS AV|6099-9-010.000|63120|Single Family Units|$31,342.00|$1,794.87|2023
2107 E COLLEGE AV|3399-9-560.000|63107|Two Family Unit|$9,405.00|$608.21|2023
3500 BELT AV|4364-9-200.000|63120|Single Family Units|$22,952.00|$1,340.95|2023
4275 LABADIE AV|4466-9-540.000|63115|Two Family Unit|$14,525.00|$886.01|2023
5221 CONDE ST|3390-9-160.000|63107|Single Family Units|$6,915.00|$6,584.30|2023
5123 MAPLE AV|5149-9-330.000|63113|Single Family Units|$35,270.00|$1,969.82|2023
4279 LABADIE AV|4466-9-560.000|63115|Two Family Unit|$7,653.00|$1,219.45|2023
1161 HOWELL ST|5432-9-460.000|63147|Single Family Units|$12,738.00|$495.03|2024
2108 HARRIS AV|3541-9-120.000|63107|Single Family Units|$26,856.00|$1,555.03|2023
4437 MARTIN LUTHER KING DR|3700-9-290.000|63113|Commercial|$15,810.00|$487.65|2025
2930 GREER AV|5221-9-040.000|63107|Two Family Unit|$18,885.00|$702.44|2024
4355 MARYLAND AV|3909-9-520.001|63108|Condominium - More Than 6 Units Per Bldg|$103,713.00|$1,767.11|2025
4728 COTE BRILLIANTE AV|3779-9-190.000|63113|Single Family Units|$12,714.00|$790.96|2023
6911 MINNESOTA AV|3017-9-055.000|63111|Single Family Units|$73,625.00|$1,173.28|2025
4442 BIRCHER BLVD|6160-9-080.000|63115|Multi-Building Residential|$14,256.00|$875.65|2023
4121 W FLORISSANT AV|3543-9-310.000|63107|Four Family Unit|$18,273.00|$1,089.32|2023
3721 N 20TH ST|1166-9-110.000|63107|Single Family Units|$23,847.00|$1,388.43|2023
5710 GOODFELLOW BLVD|5589-9-040.000|63136|Single Family Units|$13,405.00|$6,478.57|2023
5148 MAPLE AV|5148-9-110.000|63113|Two Family Unit|$9,837.00|$180.27|2025
3253 VOERSTER AV|4753-9-105.000|63139|Single Family Units|$137,100.00|$4,391.29|2024
4442 CARTER AV|4416-9-050.000|63115|Single Family Units|$26,623.00|$442.25|2025
4465 BECK AV|4169-9-405.000|63116|Single Family Units|$41,439.00|$2,192.57|2023
618 HOLLY HILLS AV|2967-9-150.000|63111|Single Family Units|$57,017.00|$3,920.91|2023
3947 ASHLAND AV|5189-9-350.000||Two Family Unit|$12,136.00|$7,532.70|2023
4038 SULLIVAN AV|5196-9-030.000|63107|Two Family Unit|$15,490.00|$938.59|2023
907 RIVERVIEW BLVD|6361-9-140.000|63147|Vacant Residential Lot|$10,610.00|$656.66|2023
5310 QUINCY ST|5338-9-130.000|63109|Single Family Units|$78,635.00|$4,033.17|2023
5633 VERNON AV|2991-9-205.000|63112|Two Family Unit|$23,242.00|$853.82|2024
4115 NEBRASKA AV|2627-9-170.000|63118|Single Family Units|$43,949.00|$2,300.51|2023
3946 DELOR ST|5760-9-120.000|63116|Single Family Units|$99,049.00|$1,568.74|2025
6430 IDAHO AV|2966-9-050.000|63111|Single Family Units|$102,425.00|$3,195.36|2023
2611 BELT AV|4529-9-290.000|63112|Single Family Units|$4,495.00|$2,972.18|2024
2901 E ST LOUIS AVE|error accessing
4829 NORTHLAND AV|4478-9-770.000|63113|Four Family Unit|$17,988.00|$674.32|2024
4229 MARGARETTA AV|5039-9-240.000|63115|Four Family Unit|$24,073.00|$879.98|2024
5241 ST LOUIS AV|6159-9-030.000|63115|Four Family Unit|$25,225.00|$1,464.42|2023
4053 N MARKET ST|3654-9-430.000|63113|Vacant Residential Lot|$600.00|$53.88|2024
4548 DURANT AV|5741-9-030.000|63115|Two Family Unit|$26,897.00|$1,553.71|2023
1923 MARCUS AV|3781-9-310.000|63113|Two Family Unit|$19,584.00|$1,160.23|2023
4200 WARNE AV|3396-9-010.000|63107|Single Family Units|$7,417.00|$502.21|2023
4637 NEWBERRY TER|3772-9-460.000|63113|Single Family Units|$22,068.00|$799.45|2024
5127 LEXINGTON AV|5954-9-200.000|63115|Four Family Unit|$30,948.00|$1,774.46|2023
5135 LEXINGTON AV|5954-9-220.000|63115|Two Family Unit|$24,647.00|$1,432.28|2023
4208 DESOTO AV|3354-9-030.000|63107|Two Family Unit|$7,484.00|$5,889.55|2023
