4109 UTAH ST|4151-9-260.000|63116|Single Family Units|$149,608.00|$4,778.07|2024
4200 W LEE AV|4428-9-020.000||Vacant Residential Lot|$1,300.00|$11,822.54|2023
6123 W FLORISSANT AV|5804-9-230.000|63136|Commercial|$92,400.00|$6,442.75|2024
2925 HEBERT ST|5218-9-120.000||Two Family Unit|$9,133.00|$12,014.31|2023
2220 KEOKUK ST|2562-9-080.000||Vacant Residential Lot|$5,000.00|$77.80|2025
4171 N NEWSTEAD AV|4413-9-360.000|63115|Vacant Residential Lot|$1,300.00|$11,231.56|2023
4035 CONNECTICUT ST|4164-9-290.000|63116|Two Family Unit|$140,412.00|$2,212.23|2025
1968 GOODFELLOW BLVD|4914-9-005.000|63112|Commercial|$48,612.00|$5,427.41|2023
6231 FYLER AV|6022-9-300.000|63139|Single Family Units|$157,575.00|$2,479.11|2025
4416 VIRGINIA AV|2699-9-210.000|63111|Vacant Residential Lot|$3,800.00|$10,978.42|2023
8200 N BROADWAY ST|error accessing
4032 EVANS AV|3733-9-120.000|63113|Two Family Unit|$10,650.00|$10,293.81|2023
124 W DAVIS ST|3205-9-010.000|63111|Commercial|$26,100.00|$8,569.45|2023
3123 RUTGER ST|1274-9-360.000|63104|Single Family Units|$80,622.00|$2,692.19|2024
2027 WITHNELL AV|1530-9-180.000|63118|Townhouse|$25,587.00|$9,242.85|2023
5430 BATES ST|5681-9-050.000|63116|Single Family Units|$113,533.00|$5,874.69|2023
3952 MISSOURI AV|2561-9-030.000|63118|Vacant Residential Lot|$7,400.00|$863.21|2023
5654 ST LOUIS AV|5244-9-200.000|63120|Four Family Unit|$24,782.00|$1,440.28|2023
3113 ARSENAL ST|1454-9-450.000|63118|Two Family Unit|$80,933.00|$3,597.13|2024
6052 EMMA AV|5345-9-070.000|63136|Single Family Units|$8,286.00|$13,094.53|2023
4650 ROSA AV|5536-9-170.000|63116|Single Family Units|$118,249.00|$6,027.44|2023
5098 DELMAR BLVD|5051-9-055.000|63108|Two Family Unit|$92,342.00|$1,464.76|2025
5146 CATES AV|4842-9-110.000|63108|Single Family Units|$8,930.00|$12,931.47|2023
5012 KENSINGTON AV|4838-9-230.000|63108|Two Family Unit|$15,018.00|$9,488.78|2023
4247 W LABADIE AV|4465-9-460.000|63115|Vacant Residential Lot|$900.00|$13,277.05|2023
5395 N KINGSHIGHWAY BLVD|5140-9-260.000|63115|Single Family Units|$41,880.00|$2,365.32|2023
5837 CATES AV|3861-9-180.000|63112|Single Family Units|$24,414.00|$13,120.71|2023
2500 HODIAMONT AV|4996-9-530.000|63136|Commercial|$76,100.00|$8,543.45|2023
5219 VIRGINIA AV|2818-9-100.000|63111|Vacant Residential Lot|$7,500.00|$13,342.85|2023
4919 SAN FRANCISCO AV|5464-9-340.000|63115|Two Family Unit|$12,323.00|$771.75|2023
4619 S 38TH ST|5684-9-080.000|63116|Single Family Units|$87,536.00|$4,312.41|2023
8853 LOWELL ST|5450-9-060.000|63147|Single Family Units|$7,496.00|$7,192.10|2023
4847 FOUNTAIN AV|3770-9-560.000|63113|Vacant Residential Lot|$1,700.00|$13,985.53|2023
5973 THEODORE AV|5348-9-430.000|63136|Single Family Units|$17,247.00|$13,766.96|2023
2117 E GRAND AV|2479-9-270.000|63107|Commercial|$76,500.00|$8,543.45|2023
2016 S JEFFERSON AV|1348-9-175.000||Four Family Unit|$44,572.00|$9,617.81|2023
