4425 HOLLY AV|3561-9-410.000|63115|Two Family Unit|$5,452.00|$3,722.45|2023
3921 KENNERLY AV|3644-9-155.000|63113|Single Family Units|$8,363.00|$552.67|2023
5980 WABADA AV|4997-9-020.000|63112|Two Family Unit|$18,520.00|$316.19|2025
5519 FLOY AV|5787-9-400.000|63115|Single Family Units|$16,988.00|$639.69|2024
4047 COTE BRILLIANTE AV|3656-9-290.000|63113|Single Family Units|$12,491.00|$777.19|2023
6040 MAPLE AV|4912-9-070.000|63112|Single Family Units|$46,439.00|$750.07|2025
1421 UNION BLVD|3798-9-300.000|63113|Two Family Unit|$11,080.00|$439.49|2024
6924 MINNESOTA AV|3014-9-120.000|63111|Single Family Units|$70,673.00|$1,889.61|2024
3733 MAFFITT AV|4872-9-260.000|63113|Two Family Unit|$12,426.00|$773.39|2023
4209 FAIR AV|3566-9-180.000|63115|Single Family Units|$15,833.00|$600.55|2024
4204 W PENROSE ST|3573-9-155.000||Single Family Units|$12,757.00|$791.74|2023
4224 N FLORISSANT AV|2435-9-060.000||Single Family Units|$8,699.00|$570.17|2023
4335 MARCUS AV|4403-9-015.000|63115|Commercial|$24,500.00|$2,041.42|2024
5418 PLOVER AV|5124-9-060.000|63120|Single Family Units|$16,566.00|$519.73|2024
4316 STRODTMAN PL|2432-9-050.000|63107|Single Family Units|$8,407.00|$158.96|2025
6172 LAURA AV|5491-9-030.000|63136|Single Family Units|$8,043.00|$153.26|2025
4311 LEE AV|3573-9-615.000|63115|Four Family Unit|$13,276.00|$823.09|2023
2007 E COLLEGE AV|error accessing
5467 QUEENS AV|5143-9-300.000|63115|Two Family Unit|$31,472.00|$517.56|2025
4429 HOLLY AV|3561-9-400.000|63115|Two Family Unit|$11,947.00|$3,660.26|2023
4355 MARYLAND AV|error accessing
3924 ASHLAND AV|5188-9-140.000|63107|Two Family Unit|$18,187.00|$311.28|2025
3946 NATURAL BRIDGE AV|5191-9-070.000|63107|Two Family Unit|$12,810.00|$495.81|2024
4724 LEXINGTON AV|4459-9-030.000|63115|Single Family Units|$10,963.00|$693.68|2023
4635 COTE BRILLIANTE AV|4474-9-070.000|63113|Single Family Units|$25,948.00|$1,506.10|2023
5869 WABADA AV|5551-9-540.000|63112|Single Family Units|$13,299.00|$514.08|2024
3934 W FLORISSANT AV|error accessing
5084 MINERVA AV|3791-9-070.000|63113|Single Family Units|$28,823.00|$476.62|2025
4276 ST LOUIS AV|error accessing
2208 E COLLEGE AV|3393-9-075.000|63107|Single Family Units|$8,400.00|$556.86|2023
5095 GERALDINE AV|5087-9-390.000|63115|Single Family Units|$7,059.00|$481.71|2023
4043 COOK AV|3741-9-630.000|63113|Two Family Unit|$14,805.00|$566.96|2024
1526 FARRAGUT ST|2438-9-145.000|63107|Single Family Units|$4,949.00|$366.98|2023
4247 RED BUD AV|3568-9-310.000|63115|Three Family Unit|$27,612.00|$4,701.69|2023
901 WALTON AV|3762-9-305.000|63108|Single Family Units|$8,725.00|$566.81|2023
3304 KEOKUK ST|2575-9-160.000||Four Family Unit|$26,685.00|$443.05|2025
5326 ORIOLE ST|5414-9-520.000|63120|Single Family Units|$24,397.00|$1,402.97|2023
4270 CLARENCE AV|3570-9-200.000|63115|Single Family Units|$9,520.00|$1,241.46|2023
4249 DELMAR BLVD|3756-9-370.000|63108|Single Family Units|$11,250.00|$440.96|2024
5952 ROMAINE PL|3835-9-350.000|63112|Two Family Unit|$14,793.00|Not Found|2025
5236 ASHLAND AV|5952-9-030.000|63115|Two Family Unit|$22,459.00|$1,316.70|2023
4300 LINTON AV|3356-9-010.000|63107|Commercial|$17,700.00|$1,915.07|2024
5161 MARTIN LUTHER KING DR|5283-9-260.000|63113|Commercial|$23,400.00|$731.45|2025
6059 GARESCHE AV|5347-9-410.000|63136|Single Family Units|$10,172.00|$652.82|2023
1416 NEWHOUSE AV|2410-9-040.000|63106|Two Family Unit|$13,802.00|$847.26|2023
4271 RED BUD AV|3568-9-240.000|63115|Two Family Unit|$10,462.00|$669.55|2023
8574 MORA LA|4334-9-070.000|63147|Single Family Units|$27,906.00|$1,011.04|2024
4556 GREER AV|3710-9-195.000|63115|Single Family Units|$28,227.00|$1,628.87|2023
1601 VERONICA AV|4322-9-145.000|63147|Single Family Units|$42,743.00|$1,670.17|2023
5249 BEACON AV|5531-9-340.000|63120|Single Family Units|$15,421.00|$267.89|2025
3846 ST LOUIS AV|3628-9-050.000|63107|Four Family Unit|$14,068.00|$539.57|2024
3250 BRANNON AV|4739-9-032.000|63139|Commercial|$24,800.00|$770.41|2025
5219 THRUSH AV|5120-9-340.000|63120|Single Family Units|$9,992.00|$643.29|2023
823 WALL ST|5275-9-170.000|63147|Single Family Units|$20,965.00|$1,236.93|2023
8615 GOODFELLOW BLVD|4327-9-010.000|63147|Two Family Unit|$24,267.00|$763.81|2024
2723 CLARA AV|5202-9-330.000|63112|Single Family Units|$10,441.00|$664.44|2023
719 BOWEN ST|2929-9-010.001|63111|Single Family Units|$21,590.00|$793.27|2024
4257 N 21ST ST|2435-9-290.000|63107|Two Family Unit|$10,542.00|$670.37|2023
2206 MONTANA ST|2609-9-120.000|63118|Single Family Units|$92,351.00|$1,982.99|2024
869 GUSTAV AV|6362-9-340.000|63147|Single Family Units|$23,774.00|$1,389.75|2023
5470 ORIOLE ST|error accessing
1228 BAYARD AV|3771-9-220.000|63113|Two Family Unit|$9,440.00|$383.16|2024
4320 MAFFITT AV|3692-9-175.000|63113|Single Family Units|$33,893.00|$1,908.64|2023
2208 MONTANA ST|2609-9-110.000|63118|Single Family Units|$81,300.00|$1,892.28|2024
4022 COTE BRILLIANTE AV|3657-9-130.000|63113|Single Family Units|$9,228.00|$171.28|2025
5239 EMERSON AV|5568-9-380.000|63120|Single Family Units|$6,724.00|$291.21|2024
5376 WELLS AV|3798-9-060.000|63112|Two Family Unit|$21,184.00|$1,245.76|2023
4103 WALBRIDGE PL|4383-9-305.000|63115|Single Family Units|$12,017.00|$754.27|2023
4773 MARTIN LUTHER KING DR|3779-9-470.000|63113|Commercial|$23,800.00|$1,654.44|2024
4853 PALM ST|4454-9-250.000|63115|Single Family Units|$25,128.00|$474.99|2024
4876 RIVERVIEW BLVD|5391-9-300.000|63120|Single Family Units|$19,864.00|$1,181.04|2023
2600 BELLE GLADE AV|3666-9-120.000|63113|Single Family Units|$11,426.00|$4,237.35|2023
5748 ERA AV|5591-9-150.000|63136|Single Family Units|$14,561.00|$558.83|2024
3236 CARTER AV|2428-9-200.000|63107|Commercial|$28,000.00|$877.70|2025
8535 MORA LA|4334-9-275.000|63147|Single Family Units|$28,795.00|$1,661.03|2023
3820 LEE AV|3587-9-340.000|63107|Single Family Units|$7,283.00|$308.45|2024
4019 GILES AVE|5883-9-240.000|63116|Two Family Unit|$33,301.00|$1,170.73|2024
4032 S SPRING AV|5883-9-080.000|63116|Single Family Units|$136,697.00|$4,384.72|2024
6306 PENNSYLVANIA AV|2949-9-110.000|63111|Single Family Units|$19,340.00|$903.71|2024
7517 VIRGINIA AV|3079-9-050.000|63111|Single Family Units|$28,690.00|$4,476.59|2023
5157 MARTIN LUTHER KING DR|5283-9-250.000|63113|Commercial|$26,300.00|$819.21|2025
5044 DAVISON AV|5139-9-040.000|63120|Single Family Units|$8,101.00|$3,557.37|2023
3945 PAGE BLVD|3733-9-600.000|63113|Single Family Units|$22,156.00|$372.68|2025
4924 LILBURN AV|5467-9-361.000|63115|Vacant Residential Lot|$2,100.00|$4,863.70|2023
1332 N EUCLID AV|3785-9-040.000|63113|Single Family Units|$8,596.00|$558.04|2023
5981 MCARTHUR AV|5723-9-080.000|63120|Single Family Units|$19,176.00|$325.98|2025
5111 MIMIKA AV|4887-9-190.000|63136|Single Family Units|$22,815.00|$838.03|2024
8410 MICHIGAN AV|3226-9-070.000|63111|Single Family Units|$22,970.00|$1,217.63|2023
4318 LEE AV|4425-9-070.000|63115|Two Family Unit|$20,511.00|$1,210.65|2023
4354 SHREVE AV|4403-9-255.000|63115|Single Family Units|$21,103.00|$782.88|2024
659 BADEN AV|4275-9-100.000|63147|Two Family Unit|$30,048.00|$1,724.74|2023
933 ELIAS AV|5399-9-480.000|63121|Single Family Units|$10,769.00|$684.11|2023
5376 THEODOSIA AV|3796-9-030.000|63112|Single Family Units|$4,775.00|$360.32|2023
1219 SHAWMUT PL|3815-9-355.000|63112|Single Family Units|$36,546.00|$2,037.89|2023
957 HAMILTON AV|3857-9-130.000|63112|Single Family Units|$40,596.00|$1,415.24|2024
5748 CHAMBERLAIN AV|4865-9-020.000|63112|Single Family Units|$60,217.00|$965.39|2025
5985 ROMAINE PL|3835-9-270.000|63112|Two Family Unit|$9,599.00|$619.83|2023
2855 NORWOOD AV|4499-9-115.000|63115|Single Family Units|$5,743.00|$4,718.55|2023
5825 DRESSELL AV|5725-9-100.000|63120|Single Family Units|$19,386.00|$719.74|2024
4824 FOUNTAIN AV|3762-9-185.000|63113|Single Family Units|$11,403.00|$442.61|2024
5115 MIMIKA AV|4887-9-180.000|63136|Single Family Units|$18,932.00|$707.16|2024
4408 BLAIR AV|2442-9-150.000|63107|Single Family Units|$3,687.00|$85.31|2025
4723 GREER AV|4481-9-245.000|63115|Single Family Units|$5,145.00|$856.03|2023
4232 ATHLONE AV|3568-9-110.000|63115|Single Family Units|$20,540.00|$1,213.66|2023
4822 GREER AV|4480-9-131.000|63115|Single Family Units|$17,189.00|$1,032.13|2023
4852 LABADIE AV|4484-9-015.000|63115|Two Family Unit|$10,048.00|$404.06|2024
4146 WYOMING ST|4154-9-080.000|63116|Single Family Units|$45,639.00|$1,468.78|2024
939 MARYVILLE AV|3858-9-080.000|63112|Two Family Unit|$29,002.00|$1,672.65|2023
5950 MINERVA AV|3834-9-070.000|63112|Single Family Units|$28,994.00|$1,113.31|2023
5212 S COMPTON AV|2824-9-070.000|63111|Two Family Unit|$58,595.00|$3,003.34|2023
2841 ABNER PL|4517-9-055.000|63120|Single Family Units|$11,608.00|$5,093.29|2023
3206 HENRIETTA ST|1287-9-170.000|63104|Two Family Unit|$55,763.00|$3,116.88|2023
8214 N BROADWAY ST|4257-9-023.000|63147|Commercial|$28,700.00|$2,002.63|2024
4206 PLEASANT ST|2427-9-020.000|63107|Single Family Units|$11,190.00|$705.44|2023
4589 MARTIN LUTHER KING DR|3723-9-240.000|63113|Commercial|$21,500.00|$2,416.38|2023
3819 PAGE BLVD|3735-9-300.000|63113|Vacant Residential Lot|$2,500.00|$140.73|2023
4943 BEACON AV|5320-9-330.000|63120|Single Family Units|$6,934.00|$477.96|2023
5751 TERRY AV|5243-9-780.000|63120|Single Family Units|$4,070.00|$5,289.50|2023
817 MCLARAN AV|5209-9-155.000|63147|Two Family Unit|$15,696.00|$595.10|2024
5120 WELLS AV|3794-9-220.000|63113|Two Family Unit|$21,917.00|$1,289.54|2023
1291 HAMILTON AV|3833-9-050.000|63112|Two Family Unit|$19,123.00|$1,141.05|2023
5474 CHRISTY BLVD|5332-9-005.000|63116|Single Family Units|$65,861.00|$3,463.32|2023
4519 MARGARETTA AV|5595-9-340.000|63115|Two Family Unit|$16,002.00|$606.01|2024
8575 N BROADWAY ST|5449-9-230.000|63147|Commercial|$19,000.00|$3,291.17|2023
4666 PALM ST|4450-9-065.000|63115|Single Family Units|$14,576.00|$556.77|2024
1012 BITTNER ST|4239-9-120.000|63147|Two Family Unit|$20,276.00|$1,199.07|2023
4463 BECK AV|4169-9-400.000|63116|Single Family Units|$70,548.00|$3,653.87|2023
418 BOWEN ST|2943-9-025.000||Vacant Residential Lot|$7,700.00|$1,076.01|2023
1433 UNION BLVD|3798-9-280.000|63113|Two Family Unit|$11,513.00|$454.08|2024
2849 ABNER PL|4517-9-040.000|63120|Single Family Units|$11,296.00|$712.13|2023
7804 VIRGINIA AV|3132-9-190.000|63111|Single Family Units|$30,087.00|$1,825.65|2023
7831 N BROADWAY ST|4235-9-080.000|63147|Commercial|$29,900.00|$2,089.72|2024
5415 CABANNE AV|3866-9-150.000|63112|Single Family Units|$16,991.00|$5,339.69|2023
8758 RIVERVIEW BLVD|6186-9-150.000|63147|Four Family Unit|$61,884.00|$2,160.70|2024
4251 PENROSE ST|3568-9-460.000|63115|Four Family Unit|$19,523.00|$726.20|2024
7050 LANSDOWNE AV|5942-9-090.000|63109|Single Family Units|$91,746.00|$2,993.57|2024
5756 LILLIAN AV|5391-9-015.000|63120|Single Family Units|$15,268.00|$582.33|2024
1403 TEMPLE PL|3818-9-125.000|63112|Single Family Units|$51,584.00|$831.09|2025
5236 BEACON AV|5532-9-090.000|63120|Single Family Units|$11,019.00|$199.93|2025
