31H510464||0060 /      -  0130 /|110
30K630974|0.69|0187 /PNT-  0428 / 0473|910
30K630938|0.89|IRR/ 0400 -  0083 / 0061|910
30K330083|3.26|0570 /IRR-  0222 / 0317|110
30H220551||0085 / 0085 -  0280 / 0280|110
31K440958|||110
31K410087|4.00||551
31K410120|1.45||910
31H120322|||603
31K310406|0.24|0106 / 0106 -  0100 / 0100|110
31K220361||0132 / 0029 -  0125 / 0128|110
32J430692|0.18|0024 / 0019 -  0378 / 0386|910
30H410622||0075 /      -  0134 /|110
33H230302|0.80|0086 / 0235 -  0278 / 0201|110
34H430262|0.27|0080 /IRR-  0100 / 0175|110
30J610452||0081 / 0084 -  0125 /|110
34K310122|0.82|IRR/ 0100 -  0375 / 0326|110
17K240622||0050 /      -  0110 /|110
17K331171||0050 / 0050 -  0100 / 0100|110
17J310524||CURV/ 0073 -  0125 / 0051|910
17K340476||0050 /      -  0100 /|110
17K610076||0060 / 0060 -  0100 / 0100|110
17J240124||0041 / 0041 -  0120 / 0120|110
17J332063|0.20|0119 / 0040 -  0125 / 0098|110
17J331248||0005 / 0024 -  0120 / 0122|910
17J510207||0030 /      -  0123 /|110
17J420052||0078 / 0104 -  0078 / 0091|110
17K510031||0050 /      -  0120 /|110
17J341412||0040 /      -  0125 /|110
17J520646||0040 / 0040 -  0123 / 0123|110
17H131902||0057 /      -  0125 /|110
17H141435||0030 /      -  0105 /|110
17J510867||0030 / 0030 -  0123 / 0123|110
17J511165||0036 /      -  0123 /|110
17J420953||0050 / 0050 -  0150 / 0150|110
17K630580||/ 0045 -  0140 /|910
17J430017||0148 /      -  0100 /|110
17J511275||0050 /      -  0150 /|110
17K531007||0060 /      -  0100 /|110
17K531238||0060 /      -  0100 /|110
17J531635|2.08|0362 / 0361 -  0250 / 0250|910
17K540852||0040 /      -  0230 / 0224|110
17J630954|0.14|0050 / 0050 -  0120 / 0120|110
16K220322||0100 / 0100 -  0114 / 0121|110
17K631426||0060 /      -  0140 /|910
17K540711||0050 / 0050 -  0107 / 0108|110
17K641151||0055 /      -  0105 /|110
17K631570||0030 /      -  0150 /|110
17J530601||0050 / 0050 -  0150 / 0150|110
17J440775||0050 /      -  0150 /|110
16K220355||0070 / 0077 -  0110 /|110
17J540903||0063 / 0077 -  0088 / 0100|110
17J531217||0040 /      -  0140 /|110
16K320598||0033 /IRR-  0113 / 0089|110
16K320923||0045 /      -  0135 /|110
16J210281||0050 / 0050 -  0150 / 0150|110
16K240825||0070 / 0073 -  0076 / 0097|110
16K240962||0051 / 0060 -  0110 / 0111|110
16K340402||0056 / 0057 -  0103 /|110
16K330498||0050 /IRR-  0121 / 0165|110
16K340741||0051 /      -  0147 /|110
17K520205||0058 /IRR-  0131 / 0134|110
18J540029||0080 / 0030 -  0100 / 0118|110
17H140674|0.08|0033 / 0034 -  0100 /|599
17H141710|0.19|0064 / 0051 -  0143 / 0144|110
17H410023||0030 / 0030 -  0145 / 0145|910
17H131096|0.11|0035 / 0035 -  0140 / 0140|110
17H111652||0030 /      -  0146 /|110
17H110372||0025 /      -  0142 /|115
17H410287||0030 /      -  0145 /|910
17H111827||0030 /      -  0146 /|910
17H110460||0025 / 0025 -  0142 / 0142|110
17H130600||0030 / 0030 -  0150 / 0150|110
17H410694||0040 /      -  0129 /|110
17J620131||IRR/ 0041 -  0110 / 0125|115
17J621220||0058 /      -  0103 / 0108|110
17J620845||0040 /      -  0120 /|110
17J621725||0040 /      -  0109 /|110
17J340895||0030 /      -  0132 /|110
17J620669||0040 /      -  0120 /|110
17J321700||0045 / 0045 -  0125 / 0125|110
